"Date","Price","Open","High","Low","Vol.","Change %"
"22-07-2020","4,288.80","4,291.20","4,329.60","4,252.20","1.06B","0.13%"
"21-07-2020","4,283.10","4,313.40","4,329.05","4,276.60","1.03B","0.01%"
"20-07-2020","4,282.65","4,277.70","4,301.30","4,265.85","1.53B","0.81%"
"17-07-2020","4,248.15","4,189.85","4,255.60","4,186.50","1.30B","1.82%"
"16-07-2020","4,172.15","4,163.45","4,183.40","4,083.85","1.48B","0.74%"
"15-07-2020","4,141.40","4,211.75","4,225.45","4,127.45","941.71M","-0.93%"
"14-07-2020","4,180.15","4,234.20","4,235.85","4,158.60","821.08M","-1.79%"
"13-07-2020","4,256.30","4,301.00","4,318.30","4,240.05","847.46M","-0.23%"
"10-07-2020","4,266.05","4,289.55","4,323.95","4,238.30","1.43B","-0.98%"
"09-07-2020","4,308.10","4,306.70","4,321.30","4,287.10","850.54M","0.54%"
"08-07-2020","4,285.05","4,327.40","4,353.70","4,273.65","1.37B","-0.64%"
"07-07-2020","4,312.65","4,297.65","4,322.25","4,254.55","939.87M","0.54%"
"06-07-2020","4,289.55","4,240.40","4,293.80","4,228.30","964.71M","1.92%"
"03-07-2020","4,208.75","4,199.75","4,218.90","4,169.60","907.46M","0.91%"
"02-07-2020","4,170.85","4,146.60","4,176.60","4,125.80","920.47M","1.34%"
"01-07-2020","4,115.80","4,100.40","4,123.50","4,073.70","961.24M","0.53%"
"30-06-2020","4,094.25","4,143.60","4,154.85","4,082.40","1.46B","-0.04%"
"29-06-2020","4,095.95","4,160.60","4,164.65","4,076.30","1.51B","-1.82%"
"26-06-2020","4,171.75","4,210.20","4,229.75","4,159.90","493.57M","0.07%"
"25-06-2020","4,168.95","4,110.05","4,181.90","4,086.65","711.62M","0.89%"
"24-06-2020","4,132.10","4,237.10","4,273.75","4,118.85","871.28M","-1.84%"
"23-06-2020","4,209.50","4,196.75","4,216.45","4,160.20","648.96M","1.00%"
"22-06-2020","4,167.85","4,121.35","4,192.05","4,116.65","833.88M","1.95%"
"19-06-2020","4,088.15","4,055.75","4,096.65","4,043.45","678.88M","1.30%"
"18-06-2020","4,035.60","3,980.85","4,042.20","3,972.90","667.88M","1.28%"
"17-06-2020","3,984.55","3,967.15","4,011.60","3,955.40","470.92M","0.23%"
"16-06-2020","3,975.50","4,024.55","4,035.50","3,903.55","570.74M","0.57%"
"15-06-2020","3,952.90","4,017.00","4,043.30","3,944.50","535.70M","-1.67%"
"12-06-2020","4,020.05","3,777.15","4,031.70","3,776.85","591.34M","1.91%"
"11-06-2020","3,944.55","4,001.80","4,051.80","3,934.05","687.06M","-1.20%"
"10-06-2020","3,992.60","3,958.25","4,005.15","3,936.95","647.42M","1.32%"
"09-06-2020","3,940.60","3,984.15","4,024.30","3,917.95","726.01M","-0.38%"
"08-06-2020","3,955.60","4,004.60","4,020.05","3,939.70","667.13M","0.23%"
"05-06-2020","3,946.45","3,909.80","3,953.35","3,891.85","585.85M","1.69%"
"04-06-2020","3,880.95","3,884.50","3,930.75","3,842.40","556.47M","0.02%"
"03-06-2020","3,880.35","3,926.65","3,959.25","3,864.30","623.79M","-0.06%"
"02-06-2020","3,882.60","3,861.90","3,897.65","3,843.35","535.98M","1.14%"
"01-06-2020","3,838.90","3,758.15","3,852.85","3,755.15","661.49M","3.38%"
"29-05-2020","3,713.55","3,638.75","3,739.60","3,623.70","976.16M","1.37%"
"28-05-2020","3,663.20","3,619.60","3,669.95","3,610.85","543.25M","1.65%"
"27-05-2020","3,603.60","3,581.20","3,611.65","3,529.75","510.34M","1.02%"
"26-05-2020","3,567.20","3,527.10","3,573.60","3,512.40","470.49M","2.01%"
"22-05-2020","3,496.85","3,512.75","3,550.70","3,468.25","415.73M","-0.92%"
"21-05-2020","3,529.15","3,526.75","3,568.75","3,512.75","381.00M","0.68%"
"20-05-2020","3,505.30","3,455.45","3,520.35","3,443.35","467.52M","1.55%"
"19-05-2020","3,451.80","3,477.35","3,510.85","3,437.10","496.88M","0.61%"
"18-05-2020","3,430.80","3,631.00","3,631.35","3,424.20","527.52M","-5.19%"
"15-05-2020","3,618.50","3,643.00","3,658.05","3,601.40","494.51M","-0.21%"
"14-05-2020","3,626.10","3,621.10","3,665.65","3,600.75","717.97M","-0.59%"
"13-05-2020","3,647.60","3,688.30","3,688.30","3,581.30","838.72M","2.82%"
"12-05-2020","3,547.50","3,549.65","3,567.95","3,487.50","361.23M","-0.55%"
"11-05-2020","3,567.15","3,568.25","3,606.20","3,558.90","341.61M","0.84%"
"08-05-2020","3,537.50","3,593.05","3,603.50","3,525.65","360.28M","-0.14%"
"07-05-2020","3,542.50","3,558.70","3,614.40","3,536.90","340.17M","-0.70%"
